TamaPoke ID -> PMDCollab SpriteCollab source
810 알로라 꼬렛      -> sprite/0019/0001
811 알로라 레트라    -> sprite/0020/0001
812 알로라 라이츄    -> sprite/0026/0001
813 알로라 모래두지  -> sprite/0027/0001
814 알로라 고지      -> sprite/0028/0001
815 알로라 식스테일  -> sprite/0037/0001
816 알로라 나인테일  -> sprite/0038/0001
817 알로라 디그다    -> sprite/0050/0001
818 알로라 닥트리오  -> sprite/0051/0001
819 알로라 나옹      -> sprite/0052/0001
820 알로라 페르시온  -> sprite/0053/0001
821 알로라 꼬마돌    -> sprite/0074/0001
822 알로라 데구리    -> sprite/0075/0001
823 알로라 딱구리    -> sprite/0076/0001
824 알로라 질퍽이    -> sprite/0088/0001
825 알로라 질뻐기    -> sprite/0089/0001
826 알로라 나시      -> sprite/0103/0001
827 알로라 텅구리    -> sprite/0105/0001

Shiny는 각 경로 아래 /0001을 사용한다.
